"mutant_ID","pool","firma","7dpiAlfL_KSUMA","7dpiAlfL_KValor M","7dpiAlfL_Kt-test","7dpiAlfL_HSUMA","7dpiAlfL_HValor M","7dpiAlfL_Ht-test","position","region","contig","Locus_tag","Gene","Protein"
"2011mTn5STM.1.01.A01",1.00,97.00,447.25,0.18,0.20,480.50,-0.04,0.59,,"","","","",""
"2011mTn5STM.1.01.A03",1.00,3.00,258.75,0.02,0.91,0.25,-0.15,0.39,2193810.00,"]--Intergenic--[","chromosome","SMc04206","SMc04206","hemolysin-type calcium-binding protein"
"2011mTn5STM.1.01.A04",1.00,4.00,440.00,0.19,0.62,375.00,0.32,0.48,53213.00,"AE006469_51","pSymA","SMa0104","SMa0104","ABC transporter substrate-binding protein"
"2011mTn5STM.1.01.A05",1.00,5.00,463.00,-0.20,0.08,531.75,-0.35,0.01,3199830.00,"SME591688_3013","chromosome","SMc03130","SMc03130","hypothetical protein"
"2011mTn5STM.1.01.A06",1.00,6.00,470.25,-0.34,0.09,687.00,-0.52,0.02,3426879.00,"SME591688_3204","chromosome","SMc03762","SMc03762","hypothetical protein"
"2011mTn5STM.1.01.A07",1.00,7.00,30.50,-0.29,0.52,453.00,8.19004610592174e-03,0.92,944589.00,"SME591688_876","chromosome","SMc00990","fsr","fosmidomycin resistance antibiotic resistance transmembrane protein"
"2011mTn5STM.1.01.A08",1.00,8.00,528.00,-0.23,0.03,663.50,-0.16,0.23,521966.00,"SME591688_483","chromosome","SMc02173","SMc02173","hypothetical protein"
"2011mTn5STM.1.01.A09",1.00,9.00,345.00,-0.02,0.81,504.00,-0.09,0.30,1463874.00,"]--Intergenic--[","pSymB","SM_b20662","SM_b20662","oxidoreductase"
"2011mTn5STM.1.01.A10",1.00,10.00,332.50,-0.05,0.47,327.75,0.21,0.15,1365304.00,"RME591985_1264","pSymB","SM_b21435","SM_b21435","allantoate amidohydrolase"
"2011mTn5STM.1.01.A11",1.00,11.00,474.50,-0.19,0.11,216.00,-0.05,0.70,1087219.00,"]--Intergenic--[","pSymA","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.A12",1.00,12.00,206.50,0.24,0.25,394.25,0.13,0.35,2093762.00,"SME591688_1972","chromosome","SMc04263","SMc04263","amino acid carrier transmembrane protein"
"2011mTn5STM.1.01.B01",1.00,13.00,532.50,-0.08,0.20,195.25,-0.10,0.48,547299.00,"SME591688_506","chromosome","SMc02199","SMc02199","hypothetical protein"
"2011mTn5STM.1.01.B03",1.00,15.00,212.25,-0.52,0.06,222.25,-0.14,0.42,381414.00,"SME591688_360","chromosome","SMc00433","iolE","myo-inositol catabolism protein"
"2011mTn5STM.1.01.B04",1.00,16.00,115.50,-0.24,0.19,161.00,0.02,0.87,1354263.00,"RME591985_1251","pSymB","SM_b21423","SM_b21423","sugar uptake ABC transporter permease"
"2011mTn5STM.1.01.B05",1.00,17.00,102.50,0.10,0.50,279.50,-0.06,0.64,2598314.00,"]--Intergenic--[","chromosome","SMc01533","adeC1","adenine deaminase"
"2011mTn5STM.1.01.B06",1.00,18.00,1.75,-1.13,0.26,5.50,-0.68,0.03,43627.00,"SME591688_37","chromosome","SMc02756","SMc02756","sensor histidine kinase"
"2011mTn5STM.1.01.B07",1.00,19.00,138.25,-0.12,0.46,236.75,-0.19,0.13,2736785.00,"SME591688_2584","chromosome","SMc02031","SMc02031","permease"
"2011mTn5STM.1.01.B08",1.00,20.00,9.75,-0.31,0.40,6.25,-0.72,0.09,1999097.00,"SME591688_1880","chromosome","SMc00166","SMc00166","oxidoreductase NAD protein"
"2011mTn5STM.1.01.B09",1.00,110.00,79.25,0.06,0.34,116.50,0.06,0.81,1186340.00,"RME591985_1082","pSymB","SM_b20958","exoM","glucosyltransferase"
"2011mTn5STM.1.01.B10",1.00,22.00,200.25,0.10,0.58,161.50,0.19,0.30,804979.00,"RME591985_742","pSymB","SM_b21239","SM_b21239","pectate lysase"
"2011mTn5STM.1.01.B11",1.00,23.00,16.75,-0.52,0.07,64.25,-0.32,0.45,3250478.00,"SME591688_3054","chromosome","SMc03096","SMc03096","signal peptide protein"
"2011mTn5STM.1.01.C01",1.00,25.00,422.25,-0.24,0.11,705.75,-0.38,0.01,92724.00,"SME591688_81","chromosome","SMc02595","metB","cystathionine gamma-synthase"
"2011mTn5STM.1.01.C02",1.00,26.00,182.50,9.37879176319805e-03,0.97,156.75,0.20,0.38,2023194.00,"SME591688_1900","chromosome","SMc00147","SMc00147","hypothetical protein"
"2011mTn5STM.1.01.C03",1.00,27.00,449.00,1.12,0.01,385.75,1.12,0.02,586186.00,"RME591985_540","pSymB","SM_b20562","SM_b20562","hypothetical protein"
"2011mTn5STM.1.01.C04",1.00,28.00,97.25,-0.33,0.17,131.50,0.14,0.18,673932.00,"AE006469_670","pSymA","SMa1229","fixL","FixL oxygen regulated histidine kinase"
"2011mTn5STM.1.01.C05",1.00,29.00,184.75,-0.30,0.39,146.25,-0.18,0.05,320289.00,"AE006469_314","pSymA","SMa0601","SMa0601","hypothetical protein"
"2011mTn5STM.1.01.C06",1.00,30.00,260.25,-0.13,0.23,259.25,-0.24,0.09,49894.00,"AE006469_48","pSymA","SMa0095","SMa0095","D-aminopeptidase"
"2011mTn5STM.1.01.C07",1.00,31.00,114.50,0.46,0.19,276.50,0.05,0.77,891339.00,"RME591985_811","pSymB","SM_b21146","SM_b21146","choline uptake ABC transporter ATP-binding protein"
"2011mTn5STM.1.01.C08",1.00,32.00,110.00,0.12,0.49,198.75,0.20,0.14,2183915.00,"SME591688_2063","chromosome","SMc04196","SMc04196","hypothetical protein"
"2011mTn5STM.1.01.C09",1.00,33.00,259.25,-1.74,1.65614734407217e-03,306.25,-1.96,2.69887507734023e-03,3550240.00,"SME591688_3325","chromosome","SMc03883","mtgA","monofunctional biosynthetic peptidoglycan transglycosylase"
"2011mTn5STM.1.01.C10",1.00,170.00,377.50,0.20,0.37,464.75,0.24,0.07,148150.00,"SME591688_130","chromosome","SMc04127","SMc04127","ABC transporter ATP-binding protein"
"2011mTn5STM.1.01.C11",1.00,112.00,119.50,-0.04,0.70,381.00,-0.03,0.61,1186897.00,"AE006469_1147","pSymA","SMa2103","SMa2103","oxidoreductase"
"2011mTn5STM.1.01.C12",1.00,36.00,521.50,-0.08,0.27,614.50,-0.34,0.06,3614950.00,"SME591688_3371","chromosome","SMc04407","SMc04407","transport transmembrane protein"
"2011mTn5STM.1.01.D01",1.00,109.00,265.25,0.06,0.34,494.25,0.01,0.76,602608.00,"AE006469_600","pSymA","SMa1103","cyaP","adenylate cyclase"
"2011mTn5STM.1.01.D02",1.00,38.00,228.25,0.56,1.74854992626276e-03,227.00,0.47,0.02,1525750.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.D03",1.00,39.00,91.75,0.40,0.09,110.00,0.37,0.20,738717.00,"AE006469_737","pSymA","SMa1349","SMa1349","GntR family transcriptional regulator"
"2011mTn5STM.1.01.D04",1.00,40.00,211.75,-0.06,0.80,206.75,0.02,0.89,360981.00,"AE006469_357","pSymA","SMa0675","SMa0675","Ca2+/H+ antiporter"
"2011mTn5STM.1.01.D05",1.00,41.00,130.50,0.12,0.14,129.75,0.10,0.14,1194772.00,"RME591985_1090","pSymB","SM_b20966","lacZ2","beta-galactosidase"
"2011mTn5STM.1.01.D06",1.00,42.00,39.25,0.51,0.05,177.50,0.34,0.08,1840012.00,"SME591688_1732","chromosome","SMc00270","SMc00270","transketolase subunit alpha"
"2011mTn5STM.1.01.D07",1.00,43.00,168.50,-0.04,0.54,175.75,-0.14,0.49,1266397.00,"RME591985_1154","pSymB","SM_b20861","SM_b20861","dehydrogenase, oxidoreductase FAD flavoprotein"
"2011mTn5STM.1.01.D08",1.00,44.00,228.00,-0.25,0.11,214.00,-0.08,0.44,259722.00,"SME591688_235","chromosome","SMc02904","SMc02904","hypothetical protein"
"2011mTn5STM.1.01.D09",1.00,45.00,147.75,-0.01,0.95,196.50,-0.05,0.54,672401.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.D10",1.00,46.00,86.50,-0.07,0.70,140.50,0.08,0.65,1179310.00,"]--Intergenic--[","chromosome","SMc02642","SMc02642","signal peptide protein"
"2011mTn5STM.1.01.D11",1.00,47.00,259.50,-3.78515581270874e-03,0.96,295.50,-0.03,0.84,55592.00,"AE006469_53","pSymA","SMa0106","SMa0106","ABC transporter permease"
"2011mTn5STM.1.01.D12",1.00,48.00,1893.50,-0.68,1.63782662651086e-03,350.50,-0.52,0.05,,"","","","",""
"2011mTn5STM.1.01.E01",1.00,49.00,244.75,0.40,0.01,358.50,0.50,5.41838011884509e-03,626720.00,"RME591985_576","pSymB","SM_b20834","rkpZ1","surface saccharide synthesis protein"
"2011mTn5STM.1.01.E02",1.00,50.00,177.25,-0.16,0.30,141.75,-0.20,0.25,3021208.00,"SME591688_2856","chromosome","SMc04023","exoN2","UTP--glucose-1-phosphate uridylyltransferase"
"2011mTn5STM.1.01.E03",1.00,51.00,56.50,0.08,0.67,77.25,0.26,0.12,365178.00,"RME591985_341","pSymB","SM_b20356","SM_b20356","sensory histidine kinase"
